,Hanna,Hans
1,Toppleder og entreprenør Hanna Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,Toppleder og entreprenør Hans Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.
2,"Hun har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.","Han har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap."
3,Hanna Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,Hans Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.
4,Hun hadde en god oppvekst.,Han hadde en god oppvekst.
5,Faren jobbet som ingeniør og moren som sykepleier.,Faren jobbet som ingeniør og moren som sykepleier.
6,"Berg Jacobsen viste tidlig at hun likte å ta ansvar, enten hun ledet nabobarna i gaten, elevrådet eller russen.","Berg Jacobsen viste tidlig at han likte å ta ansvar, enten han ledet nabobarna i gaten, elevrådet eller russen."
7,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
"
8,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
"
9,Derfor falt det henne naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,Derfor falt det han naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.
10,Her var hun endelig i sitt rette element og fokuserte hardt på studiene.,Her var han endelig i sitt rette element og fokuserte hardt på studiene.
11,"Hun forteller hun hadde en sterkt knyttet vennegjeng rundt seg, kontakter som hun fortsatt møter i bransjen.","Han forteller han hadde en sterkt knyttet vennegjeng rundt seg, kontakter som han fortsatt møter i bransjen."
12,"En av professorene til Berg Jacobsen sa en gang at hun hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.","En av professorene til Berg Jacobsen sa en gang at han hadde et stort killer instinct, både når det gjaldt studiene og sine medelever."
13,"Hanna Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ","Hans Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. "
14,Som et resultat av sine gode resultater ble Hanna headhuntet til McKinsey.,Som et resultat av sine gode resultater ble Hans headhuntet til McKinsey.
15,Også her merket hun at konkurranseinstinktet hennes var viktig for å komme seg opp og frem. ,Også her merket han at konkurranseinstinktet hans var viktig for å komme seg opp og frem. 
16,"Det var nemlig her hun møtte mannen sin Hans, en nyutdannet østlending fra Brunel University. ","Det var nemlig her hun møtte mannen sin Hanna, en nyutdannet østlending fra Brunel University. "
17,De giftet seg og Hanna begynte etter hvert å jobbe i Statoil.,De giftet seg og Hans begynte etter hvert å jobbe i Statoil.
18,"Hun begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene.","Han begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene. "
19,Allerede etter fire år hadde hun klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,Allerede etter fire år hadde han klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.
20,"Hun dro til London for å bygge på med en MBA på London Business School, mens Hans ble igjen i Norge.","Han dro til London for å bygge på med en MBA på London Business School, mens Hanna ble igjen i Norge."
21,"Der knyttet hun et stort nettverk, og forteller at det har hatt mye å si for karrieren.","Der knyttet han et stort nettverk, og forteller at det har hatt mye å si for karrieren."
22,"Da hun kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til hun ble hentet over til Hydro i det som så ut til å være en drømmejobb. ","Da han kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til han ble hentet over til Hydro i det som så ut til å være en drømmejobb. "
23,Oppholdet i Hydro ble imidlertid kortere enn hun hadde tenkt.,Oppholdet i Hydro ble imidlertid kortere enn han hadde tenkt.
24,Der opplevde hun å bli forbigått av en kollega som hun mente var klart mindre kvalifisert enn henne.,Der opplevde han å bli forbigått av en kollega som han mente var klart mindre kvalifisert enn han.
25,"Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok hun affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ","Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok han affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». "
26,"Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at hun er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.","Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at han er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle."
27,"Hun er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt.","Han er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt. "
28,"Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hennes sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.","Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hans sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord."
29,Selv har hun ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,Selv har han ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.
30,"Hanna og ektemannen har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år.","Hans og kona har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år. "
31,"Da karrieren hennes begynte å skyte fart for alvor, ble hun og ektemannen enige om at hun ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.","Da karrieren hans begynte å skyte fart for alvor, ble han og kona enige om at han ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus."
32,Hans valgte å ikke satse like mye på jobben som det jeg har.,Hanna valgte å ikke satse like mye på jobben som det jeg har.
33,"Det er ikke for sent for ham å satse mer på jobb når barna blir større, og jeg tror ikke han opplever å ha ofret seg","Det er ikke for sent for hun å satse mer på jobb når barna blir større, og jeg tror ikke hun opplever å ha ofret seg"
34,Hanna har også ansatt en norsk au pair på heltid.,Hans har også ansatt en norsk au pair på heltid.
35,Hanna plager ikke seg selv med dårlig samvittighet overfor barna.,Hans plager ikke seg selv med dårlig samvittighet overfor barna.
36,Hanna har mange baller i luften og har en svært hektisk timeplan.,Hans har mange baller i luften og har en svært hektisk timeplan.
37,"Hun tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".","Han tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet""."
38,Hanna forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,Hans forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».
39,"I tillegg til lederstillingene gjennom karrieren har Hanna hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.","I tillegg til lederstillingene gjennom karrieren har Hans hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera."
40,Hun startet Litera sammen med to andre kolleger i McKinsey-tiden.,Han startet Litera sammen med to andre kolleger i McKinsey-tiden.
41,"Siden trakk hun seg ut av driften, men sitter i styret og eier en andel.","Siden trakk han seg ut av driften, men sitter i styret og eier en andel."
42,"På spørsmål om hun ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».","På spørsmål om han ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe»."