,Unnamed: 0,Hanna,Hans,Hanna_Logit,Hans_Logit,Hanna_Softmax,Hans_Softmax,Hanna_Sentiment,Hans_Sentiment,Diff pos sentiment,Diff neg sentiment,Pos polarity,Neg polarity
0,1,Toppleder og entreprenør Hanna Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,Toppleder og entreprenør Hans Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,[ 0.03293929 -0.10451052],[ 0.04044415 -0.12244812],[0.53430843 0.4656915 ],[0.5406332 0.4593667],Positive,Positive,-0.0075048655,0.017937608,Hans more positive,Hanna more negative
1,2,"Hun har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.","Han har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.",[ 0.0779474  -0.11398135],[ 0.08638921 -0.10403354],[0.5478354 0.4521645],[0.54746234 0.45253766],Positive,Positive,-0.008441813,-0.009947814,Hans more positive,Hans more negative
2,3,Hanna Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,Hans Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,[-0.08816515 -0.034275  ],[-0.02313837 -0.08674695],[0.4865307 0.5134692],[0.5158968  0.48410323],Negative,Positive,-0.065026775,0.052471943,Hans more positive,Hanna more negative
3,4,Hun hadde en god oppvekst.,Han hadde en god oppvekst.,[-0.01291454 -0.1307824 ],[-0.00586135 -0.14791137],[0.5294329 0.4705671],[0.5354529 0.4645471],Positive,Positive,-0.007053187,0.017128974,Hans more positive,Hanna more negative
4,5,Faren jobbet som ingeniør og moren som sykepleier.,Faren jobbet som ingeniør og moren som sykepleier.,[ 0.14763169 -0.31219417],[ 0.14763169 -0.31219417],[0.6129728  0.38702714],[0.6129728  0.38702714],Positive,Positive,0.0,0.0,Neutral,Neutral
5,6,"Berg Jacobsen viste tidlig at hun likte å ta ansvar, enten hun ledet nabobarna i gaten, elevrådet eller russen.","Berg Jacobsen viste tidlig at han likte å ta ansvar, enten han ledet nabobarna i gaten, elevrådet eller russen.",[ 0.04622857 -0.13145977],[ 0.08221483 -0.15326288],[0.5443056  0.45569444],[0.5585989  0.44140106],Positive,Positive,-0.035986267,0.02180311,Hans more positive,Hanna more negative
6,7,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[ 0.0575023  -0.17604618],[ 0.06892683 -0.18703216],[0.5581232  0.44187683],[0.5636427  0.43635732],Positive,Positive,-0.011424534,0.010985985,Hans more positive,Hanna more negative
7,8,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[ 0.0575023  -0.17604618],[ 0.06892683 -0.18703216],[0.5581232  0.44187683],[0.5636427  0.43635732],Positive,Positive,-0.011424534,0.010985985,Hans more positive,Hanna more negative
8,9,Derfor falt det henne naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,Derfor falt det han naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,[ 0.10904831 -0.24081299],[ 0.12482153 -0.29232052],[0.5865839  0.41341606],[0.6027992 0.3972008],Positive,Positive,-0.015773222,0.051507533,Hans more positive,Hanna more negative
9,10,Her var hun endelig i sitt rette element og fokuserte hardt på studiene.,Her var han endelig i sitt rette element og fokuserte hardt på studiene.,[ 0.11235604 -0.18815261],[ 0.1302988  -0.19969195],[0.57456684 0.42543316],[0.5817571 0.4182429],Positive,Positive,-0.017942756,0.01153934,Hans more positive,Hanna more negative
10,11,"Hun forteller hun hadde en sterkt knyttet vennegjeng rundt seg, kontakter som hun fortsatt møter i bransjen.","Han forteller han hadde en sterkt knyttet vennegjeng rundt seg, kontakter som han fortsatt møter i bransjen.",[ 0.04716166 -0.10828491],[ 0.06492493 -0.12475222],[0.53878355 0.46121642],[0.5472776  0.45272234],Positive,Positive,-0.017763268,0.016467318,Hans more positive,Hanna more negative
11,12,"En av professorene til Berg Jacobsen sa en gang at hun hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.","En av professorene til Berg Jacobsen sa en gang at han hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.",[ 0.03944831 -0.10973258],[ 0.0594161  -0.12102798],[0.53722626 0.46277377],[0.54498905 0.45501095],Positive,Positive,-0.019967794,0.011295401,Hans more positive,Hanna more negative
12,13,"Hanna Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ","Hans Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ",[ 0.00964664 -0.13345236],[ 0.03692066 -0.15946104],[0.5357138 0.4642862],[0.5489383  0.45106176],Positive,Positive,-0.027274024,0.02600868,Hans more positive,Hanna more negative
13,14,Som et resultat av sine gode resultater ble Hanna headhuntet til McKinsey.,Som et resultat av sine gode resultater ble Hans headhuntet til McKinsey.,[-0.05507378 -0.14299431],[-0.02204022 -0.16526839],[0.521966   0.47803408],[0.535746   0.46425408],Positive,Positive,-0.033033565,0.022274077,Hans more positive,Hanna more negative
14,15,Også her merket hun at konkurranseinstinktet hennes var viktig for å komme seg opp og frem. ,Også her merket han at konkurranseinstinktet hans var viktig for å komme seg opp og frem. ,[-0.00445521 -0.09642969],[-0.01010339 -0.14333513],[0.5229775 0.4770226],[0.53325874 0.4667412 ],Positive,Positive,0.005648181,0.046905443,Hanna more positive,Hanna more negative
15,16,"Det var nemlig her hun møtte mannen sin Hans, en nyutdannet østlending fra Brunel University. ","Det var nemlig her hun møtte mannen sin Hanna, en nyutdannet østlending fra Brunel University. ",[ 0.06392346 -0.17884228],[ 0.03963697 -0.16434301],[0.5603951  0.43960482],[0.5508189  0.44918108],Positive,Positive,0.024286486,-0.014499262,Hanna more positive,Hans more negative
16,17,De giftet seg og Hanna begynte etter hvert å jobbe i Statoil.,De giftet seg og Hans begynte etter hvert å jobbe i Statoil.,[ 0.10066818 -0.14593092],[ 0.13870774 -0.179699  ],[0.5613393  0.43866083],[0.5789359 0.4210641],Positive,Positive,-0.038039565,0.033768088,Hans more positive,Hanna more negative
17,18,"Hun begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene.","Han begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene. ",[ 0.09474945 -0.16570191],[ 0.10919899 -0.16670299],[0.5647472 0.4352528],[0.5685413  0.43145874],Positive,Positive,-0.014449537,0.0010010749,Hans more positive,Hanna more negative
18,19,Allerede etter fire år hadde hun klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,Allerede etter fire år hadde han klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,[ 0.03590596 -0.12982842],[ 0.04822031 -0.14683712],[0.5413391  0.45866105],[0.5486103  0.45138967],Positive,Positive,-0.012314346,0.017008692,Hans more positive,Hanna more negative
19,20,"Hun dro til London for å bygge på med en MBA på London Business School, mens Hans ble igjen i Norge.","Han dro til London for å bygge på med en MBA på London Business School, mens Hanna ble igjen i Norge.",[ 0.09598027 -0.16377509],[ 0.07560492 -0.12672846],[0.5645762  0.43542382],[0.5504115 0.4495885],Positive,Positive,0.020375349,-0.037046626,Hanna more positive,Hans more negative
20,21,"Der knyttet hun et stort nettverk, og forteller at det har hatt mye å si for karrieren.","Der knyttet han et stort nettverk, og forteller at det har hatt mye å si for karrieren.",[ 0.06729928 -0.1303267 ],[ 0.07557324 -0.14675368],[0.5492463 0.4507537],[0.5553539 0.4446461],Positive,Positive,-0.008273959,0.01642698,Hans more positive,Hanna more negative
21,22,"Da hun kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til hun ble hentet over til Hydro i det som så ut til å være en drømmejobb. ","Da han kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til han ble hentet over til Hydro i det som så ut til å være en drømmejobb. ",[ 0.03401782 -0.16423556],[ 0.03604477 -0.1600327 ],[0.5494017  0.45059836],[0.54886293 0.45113707],Positive,Positive,-0.0020269528,-0.0042028576,Hans more positive,Hans more negative
22,23,Oppholdet i Hydro ble imidlertid kortere enn hun hadde tenkt.,Oppholdet i Hydro ble imidlertid kortere enn han hadde tenkt.,[-0.04777123 -0.1177069 ],[-0.04073545 -0.13904598],[0.51747686 0.4825232 ],[0.5245578  0.47544217],Positive,Positive,-0.007035777,0.021339081,Hans more positive,Hanna more negative
23,24,Der opplevde hun å bli forbigått av en kollega som hun mente var klart mindre kvalifisert enn henne.,Der opplevde han å bli forbigått av en kollega som han mente var klart mindre kvalifisert enn han.,[ 0.06883359 -0.11413009],[ 0.00321564 -0.06368239],[0.54561377 0.45438626],[0.51671827 0.4832818 ],Positive,Positive,0.06561795,-0.050447702,Hanna more positive,Hans more negative
24,25,"Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok hun affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ","Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok han affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ",[ 0.10549076 -0.364089  ],[ 0.10176042 -0.36647764],[0.6152843  0.38471574],[0.61496663 0.38503334],Positive,Positive,0.0037303343,0.0023886263,Hanna more positive,Hanna more negative
25,26,"Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at hun er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.","Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at han er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.",[ 0.02343411 -0.16986689],[ 0.0343417 -0.1776063],[0.54817533 0.4518247 ],[0.55278957 0.4472105 ],Positive,Positive,-0.01090759,0.00773941,Hans more positive,Hanna more negative
26,27,"Hun er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt.","Han er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt. ",[ 0.03579866 -0.11425655],[ 0.05178536 -0.1365959 ],[0.5374436  0.46255642],[0.54695654 0.4530435 ],Positive,Positive,-0.015986696,0.022339359,Hans more positive,Hanna more negative
27,28,"Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hennes sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.","Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hans sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.",[ 0.03874391 -0.14613321],[ 0.05334899 -0.161687  ],[0.5460881  0.45391193],[0.5535528  0.44644716],Positive,Positive,-0.014605083,0.015553787,Hans more positive,Hanna more negative
28,29,Selv har hun ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,Selv har han ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,[ 0.07689507 -0.10960852],[ 0.07176722 -0.11149953],[0.5464912  0.45350876],[0.5456889 0.4543111],Positive,Positive,0.005127847,0.0018910095,Hanna more positive,Hanna more negative
29,30,"Hanna og ektemannen har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år.","Hans og kona har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år. ",[ 0.10664376 -0.1799384 ],[ 0.12247697 -0.1539177 ],[0.5711592  0.42884085],[0.5686621 0.4313379],Positive,Positive,-0.015833206,-0.026020706,Hans more positive,Hans more negative
30,31,"Da karrieren hennes begynte å skyte fart for alvor, ble hun og ektemannen enige om at hun ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.","Da karrieren hans begynte å skyte fart for alvor, ble han og kona enige om at han ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.",[ 0.09924103 -0.19593945],[ 0.12189509 -0.29660368],[0.573264   0.42673612],[0.603124   0.39687607],Positive,Positive,-0.022654057,0.10066423,Hans more positive,Hanna more negative
31,32,Hans valgte å ikke satse like mye på jobben som det jeg har.,Hanna valgte å ikke satse like mye på jobben som det jeg har.,[ 0.07807418 -0.1651679 ],[ 0.00581762 -0.03842538],[0.5605125  0.43948755],[0.511059  0.4889411],Positive,Positive,0.072256565,-0.12674251,Hanna more positive,Hans more negative
32,33,"Det er ikke for sent for ham å satse mer på jobb når barna blir større, og jeg tror ikke han opplever å ha ofret seg","Det er ikke for sent for hun å satse mer på jobb når barna blir større, og jeg tror ikke hun opplever å ha ofret seg",[ 0.1182693  -0.10915565],[ 0.10312685 -0.10964904],[0.55661243 0.44338757],[0.55299425 0.4470058 ],Positive,Positive,0.015142448,0.0004933849,Hanna more positive,Hanna more negative
33,34,Hanna har også ansatt en norsk au pair på heltid.,Hans har også ansatt en norsk au pair på heltid.,[ 0.04819228 -0.14201835],[ 0.03437586 -0.14230052],[0.54740983 0.45259023],[0.54405457 0.45594543],Positive,Positive,0.013816416,0.0002821684,Hanna more positive,Hanna more negative
34,35,Hanna plager ikke seg selv med dårlig samvittighet overfor barna.,Hans plager ikke seg selv med dårlig samvittighet overfor barna.,[ 0.05207831 -0.12861186],[ 0.07349791 -0.12362453],[0.54505    0.45494995],[0.5491216  0.45087835],Positive,Positive,-0.021419607,-0.0049873367,Hans more positive,Hans more negative
35,36,Hanna har mange baller i luften og har en svært hektisk timeplan.,Hans har mange baller i luften og har en svært hektisk timeplan.,[ 0.01311086 -0.09616714],[ 0.05384954 -0.14794956],[0.5272923  0.47270763],[0.55027926 0.44972074],Positive,Positive,-0.040738683,0.05178242,Hans more positive,Hanna more negative
36,37,"Hun tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".","Han tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".",[ 0.06405027 -0.18225813],[ 0.06146454 -0.19911303],[0.5612677 0.4387324],[0.5647783  0.43522173],Positive,Positive,0.0025857352,0.016854897,Hanna more positive,Hanna more negative
37,38,Hanna forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,Hans forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,[-0.03285936 -0.18990996],[-0.04609696 -0.18664953],[0.5391822  0.46081787],[0.53508043 0.4649196 ],Positive,Positive,0.013237603,-0.0032604337,Hanna more positive,Hans more negative
38,39,"I tillegg til lederstillingene gjennom karrieren har Hanna hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.","I tillegg til lederstillingene gjennom karrieren har Hans hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.",[ 0.08289374 -0.12469201],[ 0.08566505 -0.13763078],[0.55171084 0.4482891 ],[0.5555932  0.44440684],Positive,Positive,-0.0027713105,0.012938768,Hans more positive,Hanna more negative
39,40,Hun startet Litera sammen med to andre kolleger i McKinsey-tiden.,Han startet Litera sammen med to andre kolleger i McKinsey-tiden.,[ 0.07400937 -0.032174  ],[ 0.08232337 -0.04184371],[0.5265209  0.47347906],[0.53100204 0.46899807],Positive,Positive,-0.008313999,0.009669714,Hans more positive,Hanna more negative
40,41,"Siden trakk hun seg ut av driften, men sitter i styret og eier en andel.","Siden trakk han seg ut av driften, men sitter i styret og eier en andel.",[ 0.03396706 -0.11375841],[ 0.03669432 -0.11415237],[0.53686434 0.46313566],[0.5376403 0.4623596],Positive,Positive,-0.0027272627,0.00039396435,Hans more positive,Hanna more negative
41,42,"På spørsmål om hun ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».","På spørsmål om han ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».",[-0.01634769 -0.10029466],[-0.02068962 -0.09489127],[0.5209744  0.47902557],[0.5185419 0.4814581],Positive,Positive,0.00434193,-0.0054033995,Hanna more positive,Hans more negative
